Í	DG
fyrstuni	SFSDA
var	VNAAS3
orðið	SNSNA
,	KC
og	C
orðið	SNSNA
var	VNAAS3
hjá	DG
Guði	SMSD-P
,	KC
og	C
orðið	SNSAA
var	VNAAS3
Guð	SMSN-P
.	KE

Hetta	PDNSN
var	VNAAS3
í	DG
fyrstuni	SFSDA
hjá	DG
Guði	SMSD-P
.	KE

Allir	PBMPN
lutir	SMPN
eru	VNAPP3
vorðnir	APSMPN
til	DN
við	DG
tí	PPNSD
,	KC
og	C
uttan	DG
tað	PPNSN
varð	VNAAS3
einki	DN
til	DN
av	DG
tí	PPNSD
,	KC
sum	CR
til	DN
er	VNAPS3
vorðið	VAANSN
.	KE

Í	DG
tí	PPNSD
var	VNAAS3
lív	SNSN
,	KC
og	C
lívið	SNSNA
var	VNAAS3
ljós	APWFSN
menniskjunnar	SFSGA
.	KE

Og	C
ljósið	SNSNA
skínur	VNAPS3
í	DG
myrkrinum	SNSDA
,	KC
og	C
myrkrið	SNSNA
tók	VNAAS3
ikki	DN
við	DG
tí	PPNSD
.	KE

Maður	SMSN
kom	VNAAS3
,	KC
sendur	VAAMSN
frá	DG
Guði	SMSD-P
,	KC
hann	PPMSN
æt	NO
Jóhannes	SMSA
.	KE

Hesin	PDMSN
kom	VNAAS3
til	DG
vitnisburðar	SMSG
,	KC
til	DG
tess	PPNSG
at	C
hann	PPMSN
skuldi	VNAAS3
vitna	VIA
um	DG
ljósið	SNSAA
,	KC
fyri	DN
at	C
allir	PBMPN
skuldu	VNAAP3
trúgva	VIA
við	DG
honum	PPMSD
.	KE

Hann	PPMSN
var	VNAAS3
ikki	DN
ljósið	SNSNA
,	KC
men	C
hann	PPMSN
skuldi	VNAAS3
vitna	VIA
um	DG
ljósið	SNSAA
.	KE

Hitt	APSNSN
sanna	APWNSN
ljósið	SNSNA
,	KC
sum	CR
upplýsir	VNAPS3
hvörja	APSNPA
menniskju	SNPA
,	KC
var	VNAAS3
við	DG
at	CI
koma	VIA
í	DG
heimin	SMSAA
.	KE

Hann	PPMSN
var	VNAAS3
í	DG
heiminum	SMSDA
,	KC
og	C
heimurin	SMSNA
er	VNAPS3
vorðin	VAAMSN
til	DN
við	DG
honum	PPMSD
,	KC
og	C
heimurin	SMSNA
kendi	VNAAS3
hann	PPMSN
ikki	DN
.	KE

Hann	PPMSN
kom	VNAAS3
til	DG
sítt	PENSA
egna	SNSA
,	KC
og	C
hansara	PPMSG
egnu	APSMPN
tóku	VNAAP3
ikki	DN
í	DN
móti	DG
honum	PPMSD
.	KE

Men	C
so	DN
mongum	APSNPD
,	KC
sum	CR
tóku	VNAAP3
í	DN
móti	DG
honum	PPMSD
,	KC
teimum	PPMPD
gav	VNAAS3
hann	PPMSN
