-	pa
Eg	fp1en
valdi	svg1eþ
hesa	faveo
yrkingina	nveog
,	pk
tí	c
hon	fpven
á	af
ein	fbkeo
hátt	nkeo
er	svg3en
ein	fbven
ímynd	nven
av	af
tí	fpheþ
,	pk
eg	fp1en
vil	svg1en
fortelja	sng
við	af
framsýningini	nveþg
,	pk
sigur	svg3en
Guðrið	nven-s	UNKNOWN
.	pl

Tað	fphen
er	svg3en
týðiligt	lhensf
,	pk
at	cn
tað	fphen
ikki	aa
er	svg3en
av	af
tilvild	nveþ
,	pk
at	c
listaverkini	nhfng
hjá	af
Guðrið	nveþ-s	UNKNOWN
inni	aa
í	af
Riberhúsi	nheþ-s	UNKNOWN
standa	svg3fn
,	pk
har	aa
teir	fpkfn
standa	sng
og	c
í	af
eini	fbveþ
ávísari	lveþsf
hædd	nveþ
.	pl

Skapanarverk	nhen

Eftir	af
dystin	nkeog
ímóti	af
donsku	lkfþvf	UNKNOWN
meistarunum	nkfþg
klæddu	svg3fþ
leikararnir	nkfng
hjá	af
HB	ks	UNKNOWN
seg	fpkfo
í	af
fínasta	lheose	UNKNOWN
stás	nheo
,	pk
tí	c
teir	fpkfn
skuldu	svg3fþ	UNKNOWN
til	af
døgurða	nkeo
saman	aa
við	af
donsku	lkfþvf	UNKNOWN
gestunum	nkfþg
,	pk
hildu	svg3fþ
teir	fpkfn
.	pl

Ein	fbven
sensatión	nven	UNKNOWN

Altso	aae
tað	fphen
vil	svg3en
siga	sng
búsitandi	slg	UNKNOWN
í	af
Havn	nveþ-s
,	pk
sigur	svg3en
hann	fpken
.	pl

Uttan	aa
úr	af
heimi	nkeþ

Tað	fphen
besta	lhense
er	svg3en
at	cn
hava	sng
hana	fpveo
frammanfyri	aa
,	pk
og	c
so	aa
er	svg3en
tað	fphen
eisini	aa
eitt	fbhen
gott	lhensf
hugskot	nhen
at	cn
hava	sng
pengarnar	nkfog
í	af
taskuni	nveþg
og	c
gjaldskortini	nhfog	UNKNOWN
í	af
lummanum	nkeþg
ella	c
øvugt	aa
,	pk
sigur	svg3en
løgreglan	nveng
við	af
Bergens	e	UNKNOWN
Tiden	e	UNKNOWN

Síðan	aa
hevur	svg3en	UNKNOWN
dansurin	nkeng
gingið	sþmhen
sum	c
vanligt	lhensf
,	pk
at	c
tann	faken
,	pk
sum	ct
hug	nkeo
hevur	svg3en	UNKNOWN
,	pk
hevur	svg3en	UNKNOWN
tikið	sþmhen
eina	fbveo
vísu	nveo
.	pl

Og	c
sjálvandi	aa
eisini	aa
onnur	fbhfn
,	pk
ið	ct
bara	aa
hava	svg3fn
áhuga	nkeo
fyri	af
føroyskum	lkeþsf
dansi	nkeþ
.	pl

Eitt	aa
nú	aa
ein	fbken
ríkisfundur	nken
ella	c
ein	fbken
kommunusamanleggin	nven	UNKNOWN
.	pl

Og	c
heiman	aa
fyri	af
hólmin	nkeog
er	svg3en
Sundið	nhengs
rættiliga	aa
gruggut	lhensf
.	pl

Tað	fphen
livir	svg3en
nakað	aa
væl	aa
,	pk
og	c
alneyðugt	lhensf
er	svg3en
við	af
fríhaldum	nhfþ	UNKNOWN
,	pk
tí	c
hesir	fakfn
nýggju	lkfnvf	UNKNOWN
glastrevjabátarnir	nkfng
tola	svg3fn
ikki	aa
tað	fpheo
,	pk
sum	ct
tann	faken
gamli	lkenvf	UNKNOWN
báturin	nkeng
gjørdi	svg3eþ
.	pl

Fara	sng
inn	aa
í	af
tað	fpheo
gamla	lheovf
,	pk
men	c
gera	sng
skjótt	aa
av	aa
,	pk
tí	c
trongligt	lhensf
er	svg3en
.	pl

Tíma	svg3fn
ikki	aa
at	cn
ómaka	sng
sær	fpkfþ
at	cn
rýma	sng
.	pl

Onlur	fbken	UNKNOWN
hendinga	lkensf
lundi	nken
kemur	svg3en
baksandi	slg
uttan	aa
av	af
havinum	nheþg
og	c
hvørvur	svg3en
undir	af
heilt	aa
her	aa
í	af
upsini	nveþg
.	pl

Tykist	svm3en	UNKNOWN
dáma	sng	UNKNOWN
væl	aa
hetta	faheo
spælið	nheog
.	pl

Og	c
tað	fphen
gongur	svg3en
upp	aa
á	af
stás	nheo
.	pl

