Fossavatnsgangan	nvengs
á	af
Ísafirði	nkeþ-s
er	sfg3en
elsta	lhenve
skíðamót	nhen
sem	ct
enn	aa
er	sfg3en
við	af
lýði	nkfo
á	af
Íslandi	nheþ-s
og	c
hefur	sfg3en
jafnframt	aa
verið	sþghen
fjölmennasta	lhenve
skíðagöngumót	nhen
landsins	nheeg
undanfarin	lhfosf
ár	nhfo
,	pk
með	af
100-150	ta
þátttakendur	nkfo
.	pl

Komin	sþgven
er	sfg3en
hefð	nven
á	af
að	c
gangan	nveng
fari	svg3en
fram	aa
fyrsta	lkeove
laugardag	nkeo
í	af
maí	nkeþ
og	c
markar	sfg3en
hún	fpven
jafnan	aa
lok	nhfo
skíðavertíðarinnar	nveeg
hér	aa
á	af
landi	nheþ
.	pl

Að	af
þessu	faheþ
sinni	nheþ
fer	sfg3en
ganga	nven
þó	aa
fram	aa
hinn	gkeo
30	ta
apríl	nkeo
.	pl

Göngunni	nveþg
er	sfg3en
ætlað	sþghen
að	cn
vera	sng
vettvangur	nken
fyrir	af
alla	fokfo
unnendur	nkfo
skíðaíþróttarinnar	nveeg
og	c
hollrar	lveesf
útiveru	nvee
,	pk
hvort	c
sem	c
það	fphen
eru	sfg3fn
þrautþjálfaðir	lkfnsf
keppnismenn	nkfn
,	pk
útivistarfólk	nhen
,	pk
trimmarar	nkfn
,	pk
byrjendur	nkfn
eða	c
börn	nhfn
.	pl

Allir	fokfn
geta	sfg3fn
valið	sþghen
sér	fpkfþ
vegalengd	nveo
við	af
hæfi	nheo
,	pk
og	c
hversu	aa
breitt	lhensf
sem	ct
bilið	nheng
verður	sfg3en
á	aa
milli	af
manna	nkfe
í	af
brautinni	nveþg
,	pk
þá	aa
sameinast	sfm3fn
allir	fokfn
að	af
göngu	nveþ
lokinni	lveþsf
í	af
hinu	gheþ
víðfræga	lheþvf
Fossavatnskaffi	nheþ-s
,	pk
þar	aa
sem	c
viðurkenningar	nvfn
eru	sfg3fn
veittar	sþgvfn
og	c
borðin	nhfng
svigna	sfg3fn
undan	af
kaffikrásunum	nvfþg
.	pl

Mikill	lkensf
fjöldi	nken
Íslendinga	nkfe-s
var	sfg3eþ
á	af
Kanaríeyjum	nvfþ-s
um	af
páskahátíðina	nveog
og	c
þá	aa
var	sfg3eþ
líka	aa
í	af
mörg	lhfosf
horn	nhfo
að	cn
líta	sng
hjá	af
veitingamanninum	nkeþg
