Málverkafölsunarmálið	nheng

Menntamálaráðherra	nken
ætlar	sfg3en
að	cn
skipa	sng
starfshóp	nkeo
til	af
að	cn
fara	sng
yfir	af
málverkafölsunarmálið	nheog
og	c
segir	sfg3en
brýnt	lheosf
að	cn
ákveða	sng
hvað	fsheo
eigi	svg3en
að	cn
gera	sng
við	af
fölsuð	lhfosf
málverk	nhfo
sem	ct
séu	svg3fn
í	af
umferð	nveþ
.	pl

Sýknudómur	nken
Hæstaréttar	nkee-s
breyti	svg3en
engu	foheþ
þar	aa
um	aa
.	pl

Stjórn	nven
Sambands	nhee-s
íslenskra	lkfesf
myndlistarmanna	nkfe
harmar	sfg3en
þær	favfo
ömurlegu	lvfovf
afleiðingar	nvfo
sem	ct
úrskurður	nken
Hæstaréttar	nkee-s
í	af
málverkafölsunarmálinu	nheþg
hefur	sfg3en
fyrir	af
íslenska	lveosf
myndlist	nveo
.	pl

Stjórnin	nveng
segir	sfg3en
í	af
ályktun	nveþ
að	c
það	fphen
sé	svg3en
gríðarlegt	lhensf
áfall	nhen
fyrir	af
íslenskt	lheosf
myndlistarlíf	nheo
að	c
verkin	nhfng
sem	ct
um	aa
ræðir	sfg3en
fái	svg3fn
nú	aa
heimfararleyfi	nheo
sem	ct
ófölsuð	lhfnsf
,	pk
en	c
flestum	lkfþse
blandist	svm3fn
hugur	nken
um	af
að	c
þau	fphfn
séu	svg3fn
að	af
stórum	lkeþsf
ef	c
ekki	aa
öllum	fokeþ
hluta	nkeþ
fölsuð	lhfnsf
.	pl

Það	fphen
hljóti	svg3en
að	cn
vera	sng
verkefni	nhen
yfirvalda	nhfe
að	cn
fá	sng
úr	af
því	fpheþ
skorið	sþghen
hvort	c
um	af
falsanir	nvfo
sé	svg3en
að	cn
ræða	sng
eða	c
ekki	aa
,	pk
burtséð	aa
frá	af
því	fpheþ
hver	fsken
framdi	sfg3eþ
glæpinn	nkeog
.	pl

Stjórnin	nveng
skorar	sfg3en
á	af
stjórnvöld	nhfo
að	cn
finna	sng
færa	lveosf
leið	nveo
til	af
að	cn
koma	sng
fölsuðu	lhfþvf
listaverkunum	nhfþg
úr	af
umferð	nveþ
.	pl

Valgerður	nven-s
Jóhannsdóttir	nven-s
:	pa
«	pg
Þorgerður	nven-s
Katrín	nven-s
Gunnarsdóttir	nven-s
,	pk
menntamálaráðherra	nken
,	pk
hver	fshfn
eru	sfg3fn
þín	fehfn
viðbrögð	nhfn
við	af
þessari	faveþ
áskorun	nveþ
myndlistarmanna	nkfe
?	pl
»	pg

Þorgerður	nven-s
Katrín	nven-s
Gunnarsdóttir	nven-s
,	pk
menntamálaráðherra	nken
:	pa
«	pg
Mín	fehfn
viðbrögð	nhfn
eru	sfg3fn
þau	fphfn
að	c
fyrir	af
þó	aa
nokkru	foheþ
síðan	aa
að	aa
þá	aa
ákvað	sfg1eþ
ég	fp1en
að	c
það	fphen
yrði	svg3eþ
farið	sþghen
mjög	aa
gaumgæfilega	aa
yfir	af
þetta	faheo
mál	nheo
,	pk
yfir	af
málverkafölsunarmálið	nheog
og	c
hef	sfg1en
þegar	aa
ákveðið	sþghen
það	fpheo
að	cn
skipa	sng
starfshóp	nkeo
sem	ct
að	c
fer	sfg3en
yfir	af
þetta	faheo
mál	nheo
með	af
höfundarrétt	nkeo
í	af
hug	nkeþ
,	pk
með	af
það	fpheo
hvernig	aa
eigi	svg3en
að	cn
skrá	sng
málverk	nhfo
sér	fpheþ
í	af
lagi	nheþ
gömlu	lkfevf
meistaranna	nkfeg
til	af
framtíðar	nvee
