
!	.
"	"
$an	D-A
$an	D-N
$anas	D-G
$anna	D-D
$anna	D-G
$ans	D-G
$anum	D-D
$at	C
$at	P
$av	P
$að	D-A
$að	D-N
$bað	VBDI
$biðja	VB
$biður	VBPI
$borðs	N-G
$breiddist	VBDI
$bóðu	VBDI
$drivnir	VAN
$eftir	P
$ene	D-N
$enn	P
$enum	D-D
$eð	D-N
$farin	VAN
$frá	P
$fylt	VBN
$fyltu	VBDI
$fyri	P
$gingið	VBN
$gjögnum	ADV
$gjögnum	P
$hel	N-A
$helt	VAN
$hevjað	VAN
$in	D-A
$in	D-N
$ina	D-A
$inar	D-A
$ini	D-A
$ini	D-D
$ini	D-N
$ini	N-A
$inir	D-N
$innar	D-G
$ins	D-G
$inum	D-D
$ið	C
$ið	D-A
$ið	D-N
$koyrt	VAN
$kring	ADV
$lagdar	VAN
$lagt	VAN
$latið	VAN-A
$leingi	ADV
$lítandi	VAG
$mikið	Q-N
$millum	P
$mót	N-D
$móti	N-D
$na	D-A
$nar	D-A
$nar	D-G
$nar	D-N
$nars	D-G
$ni	D-D
$nir	D-N
$nna	D-A
$nna	D-D
$nna	D-G
$nnar	D-G
$nni	D-D
$ns	D-G
$num	D-D
$rivið	VAN
$runnin	VBN
$rættum	VAN-D
$sjóna	NS-G
$sjónar	N-G
$skapast	VB
$skilda	VAN-A
$skornir	VAN
$stað	N-D
$sum	C
$síðir	NS-A
$tikin	VAN
$til	P
$tjald$	N-A
$tá	ADV
$tí	PRO-D
$týða	VBI
$um	P
$um	RP
$un	D-A
$un	D-N
$una	D-A
$unar	D-A
$unar	D-N
$undan	P
$undir	P
$uni	D-A
$uni	D-D
$uni	D-N
$unum	D-D
$unums	D-G
$vaksið	VBN
$valt	VAN
$vendað	VBN
$vendið	VBI
$vendu	VBDI
$vent	VBN
$við	RP
$yvir	P
$á	P
$á	RP
$í	C
$í	P
$í	RP
$í	RPX
$ð	D-A
$úr	P
$úr	RP
,	,
,	.
.	,
.	.
.	.Hina	D-A
.	.Í	P
10da	ADJ-N
11ta	ADJ-N
12ta	ADJ-N
13da	ADJ-N
2na	ADJ-N
3ja	ADJ-N
4ra	ADJ-N
5ta	ADJ-N
6ta	ADJ-N
7da	ADJ-N
8de	ADJ-N
9da	ADJ-N
:	,
:	.
;	.
?	.
Aabraham	NPR-D
Aabrahami	NPR-D
Abia	NPR-A
Abia	NPR-N
Abiud	NPR-A
Abiud	NPR-N
Abraham	NPR-N
Abrahami	NPR-D
Achas	NPR-A
Achas	NPR-N
Achim	NPR-A
Achim	NPR-N
Aftan	ADV
Aftur	ADV
Agabus	NPR-N
Akr$	N-D
Akri	N-D
Akur	N-A
Akur$	N-A
Akur$	N-N
Akurfólk$	NS-N
Akurskurð$	N-D
Akurskurður$	N-N
Aldri	ADV
Aleksander	NPR-N
Aleksandriumonnum	NPRS-D
Alfei	NPR21
Alfeusar	NPR-G
Alin	N-A
Allir	Q-N
Also	ALSO
Alt	Q-A
Alt	Q-N
Altar$	N-D
Altari	N-D
Altíð	ADV
Amfipolis	NPR-G
Aminadab	NPR-A
Aminadab	NPR-N
Amon	NPR-A
Amon	NPR-N
Anda	N-D
Andlit	N-A
Andlit$	N-A
