!	!
"	"
%	%
'	'
(	(
)	)
*	*
+	+
,	,
-	-
--	--
---	---
.	.
..	..
...	...
....	....
.....	.....
......	......
.......	.......
........	........
.........	.........
..........	..........
...........	...........
............	............
.............	.............
..............	..............
................	................
....................	....................
..............................	..............................
/	/
:	:
;	;
<	<
=	=
>	>
?	?
@	@
[	[
\*	\*
]	]
_	_
aa	DN
aae	DSN
aam	DCN
ae	DS
ao	-
as	-
au	DI
aþ	-
aþe	-
aþm	-
c	C
cn	CI
ct	CR
e	F
fahee	PDNSG
fahen	PDNSN
faheo	PDNSA
faheþ	PDNSD
fahfe	PDNPG
fahfn	PDNPN
fahfo	PDNPA
fahfþ	PDNPD
fakee	PDMSG
faken	PDMSN
fakeo	PDMSA
fakeþ	PDMSD
fakfe	PDMPG
fakfn	PDMPN
fakfo	PDMPA
fakfþ	PDMPD
favee	PDFSG
faven	PDFSN
faveo	PDFSA
faveþ	PDFSD
favfe	PDFPG
favfn	PDFPN
favfo	PDFPA
favfþ	PDFPD
fbhee	PBNSG
fbhen	PBNSN
fbheo	PBNSA
fbheþ	PBNSD
fbhfe	PBNPG
fbhfn	PBNPN
fbhfo	PBNPA
fbhfþ	PBNPD
fbkee	PBMSG
fbken	PBMSN
fbkeo	PBMSA
fbkeþ	PBMSD
fbkfe	PBMPG
fbkfn	PBMPN
fbkfo	PBMPA
fbkfþ	PBMPD
fbvee	PBFSG
fbven	PBFSN
fbveo	PBFSA
fbveþ	PBFSD
fbvfe	PBFPG
fbvfn	PBFPN
fbvfo	PBFPA
fbvfþ	PBFPD
fehee	PENSG
fehen	PENSN
feheo	PENSA
feheþ	PENSD
fehfe	PENPG
fehfn	PENPN
fehfo	PENPA
fehfþ	PENPD
fekee	PEMSG
feken	PEMSN
fekeo	PEMSA
fekeþ	PEMSD
fekfe	PEMPG
fekfn	PEMPN
fekfo	PEMPA
fekfþ	PEMPD
fevee	PEFSG
feven	PEFSN
feveo	PEFSA
feveþ	PEFSD
fevfe	PEFPG
fevfn	PEFPN
fevfo	PEFPA
fevfþ	PEFPD
fohee	PINSG
fohen	PINSN
foheo	PINSA
foheþ	PINSD
fohfe	PINPG
fohfn	PINPN
fohfo	PINPA
fohfþ	PINPD
fokee	PIMSG
foken	PIMSN
fokeo	PIMSA
fokeþ	PIMSD
fokfe	PIMPG
fokfn	PIMPN
fokfo	PIMPA
fokfþ	PIMPD
fovee	PIFSG
foven	PIFSN
foveo	PIFSA
foveþ	PIFSD
fovfe	PIFPG
fovfn	PIFPN
fovfo	PIFPA
fovfþ	PIFPD
fp1ee	PP1SG
fp1en	PP1SN
fp1eo	PP1SA
fp1eþ	PP1SD
fp1fe	PP1PG
fp1fn	PP1PN
fp1fo	PP1PA
fp1fþ	PP1PD
fp2ee	PP2SG
fp2en	PP2SN
fp2eo	PP2SA
fp2eþ	PP2SD
fp2fe	PP2PG
fp2fn	PP2PN
fp2fo	PP2PA
fp2fþ	PP2PD
fphee	PPNSG
fphen	PPNSN
fpheo	PPNSA
fpheþ	PPNSD
fphfe	PPNPG
fphfn	PPNPN
fphfo	PPNPA
fphfþ	PPNPD
fpkee	PPMSG
fpken	PPMSN
